KEY: a , Value: 6970

KEY: abandon , Value: 2

KEY: abandond , Value: 5

KEY: abandoned , Value: 1

KEY: abashd , Value: 1

KEY: abate , Value: 5

KEY: abatement , Value: 2

KEY: abates , Value: 1

KEY: abbess , Value: 7

KEY: abbey , Value: 11

KEY: abbominable , Value: 1

KEY: abbreviated , Value: 1

KEY: abed , Value: 3

KEY: abetting , Value: 1

KEY: abhominable , Value: 1

KEY: abhor , Value: 8

KEY: abhorrd , Value: 5

KEY: abhorred , Value: 3

KEY: abhors , Value: 3

KEY: abhorson , Value: 20

KEY: abide , Value: 19

KEY: abides , Value: 2

KEY: abilities , Value: 1

KEY: ability , Value: 6

KEY: abilitys , Value: 1

KEY: abject , Value: 5

KEY: abjure , Value: 2

KEY: abjured , Value: 2

KEY: able , Value: 21

KEY: aboard , Value: 25

KEY: abode , Value: 4

KEY: abominable , Value: 7

KEY: abortive , Value: 1

KEY: abound , Value: 2

KEY: about , Value: 169

KEY: above , Value: 66

KEY: abraham , Value: 2

KEY: abram , Value: 2

KEY: abreast , Value: 1

KEY: abridge , Value: 1

KEY: abridged , Value: 1

KEY: abridgement , Value: 2

KEY: abroad , Value: 19

KEY: abrogate , Value: 1

KEY: abruption , Value: 1

KEY: abruptly , Value: 1

KEY: absence , Value: 26

KEY: absent , Value: 18

KEY: absolute , Value: 10

KEY: absolutely , Value: 1

KEY: abstemious , Value: 1

KEY: abstinence , Value: 3

KEY: abstract , Value: 2

KEY: abundance , Value: 4

KEY: abundant , Value: 1

KEY: abuse , Value: 13

KEY: abused , Value: 18

KEY: abuses , Value: 4

KEY: abusing , Value: 1

KEY: abuts , Value: 1

KEY: aby , Value: 2

KEY: abysm , Value: 1

KEY: academe , Value: 1

KEY: academes , Value: 2

KEY: accent , Value: 6

KEY: accept , Value: 11

KEY: acceptance , Value: 2

KEY: accepted , Value: 2

KEY: access , Value: 16

KEY: accessary , Value: 1

KEY: accessible , Value: 1

KEY: accidence , Value: 1

KEY: accident , Value: 12

KEY: accidental , Value: 1

KEY: accidentally , Value: 2

KEY: accidents , Value: 5

KEY: accommodated , Value: 1

KEY: accommodations , Value: 1

KEY: accompany , Value: 3

KEY: accomplishd , Value: 2

KEY: accomplished , Value: 7

KEY: accompt , Value: 2

KEY: accord , Value: 5

KEY: accordant , Value: 1

KEY: according , Value: 22

KEY: accordingly , Value: 4

KEY: accords , Value: 2

KEY: accost , Value: 6

KEY: accosted , Value: 1

KEY: accosting , Value: 1

KEY: account , Value: 11

KEY: accountant , Value: 1

KEY: accounted , Value: 3

KEY: accounts , Value: 1

KEY: accountst , Value: 1

KEY: accoutred , Value: 1

KEY: accoutrement , Value: 1

KEY: accoutrements , Value: 2

KEY: accursed , Value: 3

KEY: accurst , Value: 2

KEY: accusation , Value: 9

KEY: accusative , Value: 2

KEY: accusativo , Value: 1

KEY: accuse , Value: 15

KEY: accused , Value: 14

KEY: accuser , Value: 1

KEY: accusers , Value: 1

KEY: accuses , Value: 1

KEY: accusing , Value: 1

KEY: accustomd , Value: 1

KEY: accustomed , Value: 1

KEY: ace , Value: 5

KEY: ache , Value: 8

KEY: acheron , Value: 1

KEY: aches , Value: 1

KEY: achieve , Value: 7

KEY: achieved , Value: 4

KEY: achievement , Value: 1

KEY: achievements , Value: 2

KEY: achiever , Value: 1

KEY: achieves , Value: 1

KEY: achilles , Value: 168

KEY: aching , Value: 2

KEY: acknowledge , Value: 9

KEY: acknowledged , Value: 1

KEY: acordo , Value: 1

KEY: acorn , Value: 4

KEY: acornd , Value: 1

KEY: acquaint , Value: 11

KEY: acquaintance , Value: 22

KEY: acquainted , Value: 28

KEY: acquaints , Value: 1

KEY: acquired , Value: 2

KEY: acquisition , Value: 1

KEY: acquit , Value: 3

KEY: acquittance , Value: 1

KEY: acquittances , Value: 1

KEY: acquitted , Value: 2

KEY: acre , Value: 2

KEY: acres , Value: 2

KEY: across , Value: 4

KEY: act , Value: 128

KEY: actaeon , Value: 2

KEY: acted , Value: 2

KEY: acting , Value: 2

KEY: action , Value: 44

KEY: actions , Value: 14

KEY: active , Value: 2

KEY: activity , Value: 1

KEY: actor , Value: 5

KEY: actors , Value: 7

KEY: acts , Value: 6

KEY: acute , Value: 2

KEY: acutely , Value: 1

KEY: ad , Value: 2

KEY: adam , Value: 31

KEY: adamant , Value: 2

KEY: adams , Value: 1

KEY: add , Value: 18

KEY: added , Value: 7

KEY: adder , Value: 5

KEY: adders , Value: 3

KEY: addicted , Value: 1

KEY: adding , Value: 5

KEY: addition , Value: 7

KEY: additions , Value: 3

KEY: addle , Value: 2

KEY: address , Value: 7

KEY: addressd , Value: 5

KEY: addrest , Value: 1

KEY: adds , Value: 3

KEY: adhere , Value: 1

KEY: adheres , Value: 2

KEY: adieu , Value: 55

KEY: adieus , Value: 1

KEY: adjoining , Value: 1

KEY: adjournd , Value: 1

KEY: adjudged , Value: 2

KEY: adjunct , Value: 1

KEY: admirable , Value: 11

KEY: admiration , Value: 6

KEY: admire , Value: 4

KEY: admired , Value: 6

KEY: admiring , Value: 3

KEY: admiringly , Value: 2

KEY: admission , Value: 1

KEY: admit , Value: 8

KEY: admits , Value: 3

KEY: admittance , Value: 5

KEY: admitted , Value: 4

KEY: admonishment , Value: 1

KEY: admonition , Value: 1

KEY: ado , Value: 9

KEY: adonis , Value: 1

KEY: adopted , Value: 1

KEY: adoptedly , Value: 1

KEY: adoption , Value: 3

KEY: adoptious , Value: 1

KEY: adoration , Value: 1

KEY: adorations , Value: 1

KEY: adore , Value: 9

KEY: adored , Value: 3

KEY: adorer , Value: 1

KEY: adores , Value: 1

KEY: adornd , Value: 1

KEY: adornment , Value: 2

